malloc, 1, 157.000000, 4, 4128, 64
free, 1, 64.000000, 0, 4128, 32
malloc, 1, 30.000000, 4, 4128, 64
free, 1, 20.000000, 0, 4128, 32
malloc, 1, 28.000000, 4, 4128, 64
free, 1, 20.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 20.000000, 0, 4128, 32
malloc, 1, 30.000000, 4, 4128, 64
free, 1, 20.000000, 0, 4128, 32
malloc, 1, 28.000000, 4, 4128, 64
free, 1, 19.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 19.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 19.000000, 0, 4128, 32
malloc, 1, 25.000000, 4, 4128, 64
free, 1, 19.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 19.000000, 0, 4128, 32
malloc, 1, 24.000000, 4, 4128, 64
free, 1, 18.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 20.000000, 0, 4128, 32
malloc, 1, 26.000000, 4, 4128, 64
free, 1, 17.000000, 0, 4128, 32
malloc, 1, 23.000000, 4, 4128, 64
free, 1, 18.000000, 0, 4128, 32
malloc, 1, 24.000000, 4, 4128, 64
free, 1, 33.000000, 0, 4128, 32
malloc, 2, 24.000000, 4, 4128, 64
free, 2, 17.000000, 0, 4128, 32
malloc, 2, 24.000000, 4, 4128, 64
free, 2, 17.000000, 0, 4128, 32
malloc, 2, 23.000000, 4, 4128, 64
free, 2, 17.000000, 0, 4128, 32
malloc, 2, 24.000000, 4, 4128, 64
free, 2, 17.000000, 0, 4128, 32
malloc, 2, 23.000000, 4, 4128, 64
free, 2, 18.000000, 0, 4128, 32
malloc, 2, 21.000000, 4, 4128, 64
free, 2, 18.000000, 0, 4128, 32
malloc, 2, 25.000000, 4, 4128, 64
free, 2, 19.000000, 0, 4128, 32
malloc, 2, 23.000000, 4, 4128, 64
free, 2, 17.000000, 0, 4128, 32
malloc, 3, 24.000000, 4, 4128, 64
free, 3, 18.000000, 0, 4128, 32
malloc, 3, 24.000000, 4, 4128, 64
free, 3, 18.000000, 0, 4128, 32
malloc, 3, 24.000000, 4, 4128, 64
free, 3, 19.000000, 0, 4128, 32
malloc, 3, 22.000000, 4, 4128, 64
free, 3, 19.000000, 0, 4128, 32
malloc, 3, 23.000000, 4, 4128, 64
free, 3, 18.000000, 0, 4128, 32
malloc, 3, 24.000000, 4, 4128, 64
free, 3, 17.000000, 0, 4128, 32
malloc, 4, 22.000000, 4, 4128, 64
free, 4, 17.000000, 0, 4128, 32
malloc, 4, 25.000000, 4, 4128, 64
free, 4, 18.000000, 0, 4128, 32
malloc, 4, 24.000000, 4, 4128, 64
free, 4, 18.000000, 0, 4128, 32
malloc, 4, 24.000000, 4, 4128, 64
free, 4, 19.000000, 0, 4128, 32
malloc, 5, 23.000000, 8, 4128, 64
free, 5, 19.000000, 0, 4128, 32
malloc, 5, 24.000000, 8, 4128, 64
free, 5, 19.000000, 0, 4128, 32
malloc, 5, 22.000000, 8, 4128, 64
free, 5, 18.000000, 0, 4128, 32
malloc, 5, 21.000000, 8, 4128, 64
free, 5, 18.000000, 0, 4128, 32
malloc, 6, 23.000000, 8, 4128, 64
free, 6, 18.000000, 0, 4128, 32
malloc, 6, 23.000000, 8, 4128, 64
free, 6, 17.000000, 0, 4128, 32
malloc, 6, 21.000000, 8, 4128, 64
free, 6, 18.000000, 0, 4128, 32
malloc, 7, 25.000000, 8, 4128, 64
free, 7, 17.000000, 0, 4128, 32
malloc, 7, 24.000000, 8, 4128, 64
free, 7, 18.000000, 0, 4128, 32
malloc, 7, 22.000000, 8, 4128, 64
free, 7, 17.000000, 0, 4128, 32
malloc, 8, 23.000000, 8, 4128, 64
free, 8, 18.000000, 0, 4128, 32
malloc, 8, 21.000000, 8, 4128, 64
free, 8, 18.000000, 0, 4128, 32
malloc, 8, 22.000000, 8, 4128, 64
free, 8, 17.000000, 0, 4128, 32
malloc, 9, 22.000000, 12, 4128, 64
free, 9, 19.000000, 0, 4128, 32
malloc, 9, 23.000000, 12, 4128, 64
free, 9, 19.000000, 0, 4128, 32
malloc, 10, 22.000000, 12, 4128, 64
free, 10, 18.000000, 0, 4128, 32
malloc, 10, 21.000000, 12, 4128, 64
free, 10, 18.000000, 0, 4128, 32
malloc, 11, 24.000000, 12, 4128, 64
free, 11, 19.000000, 0, 4128, 32
malloc, 12, 24.000000, 12, 4128, 64
free, 12, 18.000000, 0, 4128, 32
malloc, 12, 23.000000, 12, 4128, 64
free, 12, 19.000000, 0, 4128, 32
malloc, 13, 24.000000, 16, 4128, 64
free, 13, 18.000000, 0, 4128, 32
malloc, 13, 22.000000, 16, 4128, 64
free, 13, 18.000000, 0, 4128, 32
malloc, 14, 22.000000, 16, 4128, 64
free, 14, 18.000000, 0, 4128, 32
malloc, 15, 23.000000, 16, 4128, 64
free, 15, 18.000000, 0, 4128, 32
malloc, 16, 23.000000, 16, 4128, 64
free, 16, 18.000000, 0, 4128, 32
malloc, 16, 23.000000, 16, 4128, 64
free, 16, 18.000000, 0, 4128, 32
malloc, 17, 24.000000, 20, 4128, 64
free, 17, 17.000000, 0, 4128, 32
malloc, 18, 22.000000, 20, 4128, 64
free, 18, 17.000000, 0, 4128, 32
malloc, 19, 23.000000, 20, 4128, 64
free, 19, 18.000000, 0, 4128, 32
malloc, 20, 21.000000, 20, 4128, 64
free, 20, 19.000000, 0, 4128, 32
malloc, 21, 22.000000, 24, 4128, 64
free, 21, 18.000000, 0, 4128, 32
malloc, 22, 21.000000, 24, 4128, 64
free, 22, 19.000000, 0, 4128, 32
malloc, 23, 21.000000, 24, 4128, 64
free, 23, 18.000000, 0, 4128, 32
malloc, 25, 22.000000, 28, 4128, 64
free, 25, 19.000000, 0, 4128, 32
malloc, 26, 23.000000, 28, 4128, 64
free, 26, 19.000000, 0, 4128, 32
malloc, 27, 22.000000, 28, 4128, 64
free, 27, 18.000000, 0, 4128, 32
malloc, 28, 22.000000, 28, 4128, 64
free, 28, 20.000000, 0, 4128, 32
malloc, 30, 22.000000, 32, 4128, 64
free, 30, 19.000000, 0, 4128, 32
malloc, 31, 24.000000, 32, 4128, 64
free, 31, 18.000000, 0, 4128, 32
malloc, 33, 20.000000, 36, 4128, 64
free, 33, 21.000000, 0, 4128, 32
malloc, 35, 23.000000, 36, 4128, 64
free, 35, 19.000000, 0, 4128, 32
malloc, 36, 22.000000, 36, 4128, 64
free, 36, 18.000000, 0, 4128, 32
malloc, 38, 25.000000, 40, 4128, 64
free, 38, 20.000000, 0, 4128, 32
