malloc, 1, 161.000000, 4, 4128, 64
free, 1, 102.000000, 0, 4128, 32
malloc, 1, 155.000000, 4, 4128, 64
free, 1, 34.000000, 0, 4128, 32
malloc, 1, 138.000000, 4, 4128, 64
free, 1, 30.000000, 0, 4128, 32
malloc, 1, 51.000000, 4, 4128, 64
free, 1, 27.000000, 0, 4128, 32
malloc, 1, 72.000000, 4, 4128, 64
free, 1, 27.000000, 0, 4128, 32
malloc, 1, 57.000000, 4, 4128, 64
free, 1, 27.000000, 0, 4128, 32
malloc, 1, 48.000000, 4, 4128, 64
free, 1, 31.000000, 0, 4128, 32
malloc, 1, 54.000000, 4, 4128, 64
free, 1, 27.000000, 0, 4128, 32
malloc, 1, 48.000000, 4, 4128, 64
free, 1, 27.000000, 0, 4128, 32
malloc, 1, 51.000000, 4, 4128, 64
free, 1, 24.000000, 0, 4128, 32
malloc, 1, 50.000000, 4, 4128, 64
free, 1, 28.000000, 0, 4128, 32
malloc, 1, 41.000000, 4, 4128, 64
free, 1, 25.000000, 0, 4128, 32
malloc, 1, 47.000000, 4, 4128, 64
free, 1, 29.000000, 0, 4128, 32
malloc, 1, 45.000000, 4, 4128, 64
free, 1, 26.000000, 0, 4128, 32
malloc, 1, 50.000000, 4, 4128, 64
free, 1, 26.000000, 0, 4128, 32
malloc, 2, 47.000000, 4, 4128, 64
free, 2, 28.000000, 0, 4128, 32
malloc, 2, 48.000000, 4, 4128, 64
free, 2, 25.000000, 0, 4128, 32
malloc, 2, 50.000000, 4, 4128, 64
free, 2, 31.000000, 0, 4128, 32
malloc, 2, 46.000000, 4, 4128, 64
free, 2, 24.000000, 0, 4128, 32
malloc, 2, 51.000000, 4, 4128, 64
free, 2, 27.000000, 0, 4128, 32
malloc, 2, 55.000000, 4, 4128, 64
free, 2, 27.000000, 0, 4128, 32
malloc, 2, 41.000000, 4, 4128, 64
free, 2, 27.000000, 0, 4128, 32
malloc, 2, 53.000000, 4, 4128, 64
free, 2, 28.000000, 0, 4128, 32
malloc, 3, 50.000000, 4, 4128, 64
free, 3, 27.000000, 0, 4128, 32
malloc, 3, 44.000000, 4, 4128, 64
free, 3, 27.000000, 0, 4128, 32
malloc, 3, 52.000000, 4, 4128, 64
free, 3, 27.000000, 0, 4128, 32
malloc, 3, 49.000000, 4, 4128, 64
free, 3, 29.000000, 0, 4128, 32
malloc, 3, 38.000000, 4, 4128, 64
free, 3, 20.000000, 0, 4128, 32
malloc, 3, 46.000000, 4, 4128, 64
free, 3, 27.000000, 0, 4128, 32
malloc, 4, 53.000000, 4, 4128, 64
free, 4, 24.000000, 0, 4128, 32
malloc, 4, 47.000000, 4, 4128, 64
free, 4, 24.000000, 0, 4128, 32
malloc, 4, 48.000000, 4, 4128, 64
free, 4, 26.000000, 0, 4128, 32
malloc, 4, 51.000000, 4, 4128, 64
free, 4, 24.000000, 0, 4128, 32
malloc, 5, 37.000000, 8, 4128, 64
free, 5, 27.000000, 0, 4128, 32
malloc, 5, 54.000000, 8, 4128, 64
free, 5, 26.000000, 0, 4128, 32
malloc, 5, 55.000000, 8, 4128, 64
free, 5, 26.000000, 0, 4128, 32
malloc, 5, 38.000000, 8, 4128, 64
free, 5, 25.000000, 0, 4128, 32
malloc, 6, 46.000000, 8, 4128, 64
free, 6, 23.000000, 0, 4128, 32
malloc, 6, 39.000000, 8, 4128, 64
free, 6, 22.000000, 0, 4128, 32
malloc, 6, 44.000000, 8, 4128, 64
free, 6, 22.000000, 0, 4128, 32
malloc, 7, 45.000000, 8, 4128, 64
free, 7, 18.000000, 0, 4128, 32
malloc, 7, 23.000000, 8, 4128, 64
free, 7, 19.000000, 0, 4128, 32
malloc, 7, 34.000000, 8, 4128, 64
free, 7, 18.000000, 0, 4128, 32
malloc, 8, 34.000000, 8, 4128, 64
free, 8, 19.000000, 0, 4128, 32
malloc, 8, 23.000000, 8, 4128, 64
free, 8, 19.000000, 0, 4128, 32
malloc, 8, 31.000000, 8, 4128, 64
free, 8, 19.000000, 0, 4128, 32
malloc, 9, 32.000000, 12, 4128, 64
free, 9, 19.000000, 0, 4128, 32
malloc, 9, 22.000000, 12, 4128, 64
free, 9, 19.000000, 0, 4128, 32
malloc, 10, 31.000000, 12, 4128, 64
free, 10, 18.000000, 0, 4128, 32
malloc, 10, 34.000000, 12, 4128, 64
free, 10, 19.000000, 0, 4128, 32
malloc, 11, 23.000000, 12, 4128, 64
free, 11, 19.000000, 0, 4128, 32
malloc, 12, 30.000000, 12, 4128, 64
free, 12, 19.000000, 0, 4128, 32
malloc, 12, 34.000000, 12, 4128, 64
free, 12, 18.000000, 0, 4128, 32
malloc, 13, 23.000000, 16, 4128, 64
free, 13, 17.000000, 0, 4128, 32
malloc, 13, 29.000000, 16, 4128, 64
free, 13, 18.000000, 0, 4128, 32
malloc, 14, 31.000000, 16, 4128, 64
free, 14, 17.000000, 0, 4128, 32
malloc, 15, 23.000000, 16, 4128, 64
free, 15, 19.000000, 0, 4128, 32
malloc, 16, 30.000000, 16, 4128, 64
free, 16, 18.000000, 0, 4128, 32
malloc, 16, 33.000000, 16, 4128, 64
free, 16, 18.000000, 0, 4128, 32
malloc, 17, 24.000000, 20, 4128, 64
free, 17, 17.000000, 0, 4128, 32
malloc, 18, 28.000000, 20, 4128, 64
free, 18, 17.000000, 0, 4128, 32
malloc, 19, 31.000000, 20, 4128, 64
free, 19, 18.000000, 0, 4128, 32
malloc, 20, 24.000000, 20, 4128, 64
free, 20, 17.000000, 0, 4128, 32
malloc, 21, 28.000000, 24, 4128, 64
free, 21, 18.000000, 0, 4128, 32
malloc, 22, 31.000000, 24, 4128, 64
free, 22, 17.000000, 0, 4128, 32
malloc, 23, 24.000000, 24, 4128, 64
free, 23, 17.000000, 0, 4128, 32
malloc, 25, 30.000000, 28, 4128, 64
free, 25, 18.000000, 0, 4128, 32
malloc, 26, 30.000000, 28, 4128, 64
free, 26, 19.000000, 0, 4128, 32
malloc, 27, 25.000000, 28, 4128, 64
free, 27, 17.000000, 0, 4128, 32
malloc, 28, 28.000000, 28, 4128, 64
free, 28, 19.000000, 0, 4128, 32
malloc, 30, 31.000000, 32, 4128, 64
free, 30, 17.000000, 0, 4128, 32
malloc, 31, 25.000000, 32, 4128, 64
free, 31, 18.000000, 0, 4128, 32
malloc, 33, 27.000000, 36, 4128, 64
free, 33, 20.000000, 0, 4128, 32
malloc, 35, 33.000000, 36, 4128, 64
free, 35, 19.000000, 0, 4128, 32
malloc, 36, 26.000000, 36, 4128, 64
free, 36, 18.000000, 0, 4128, 32
malloc, 38, 29.000000, 40, 4128, 64
free, 38, 18.000000, 0, 4128, 32
malloc, 40, 32.000000, 40, 4128, 64
free, 40, 18.000000, 0, 4128, 32
malloc, 42, 25.000000, 44, 4128, 64
free, 42, 18.000000, 0, 4128, 32
malloc, 44, 30.000000, 44, 4128, 64
free, 44, 18.000000, 0, 4128, 32
malloc, 47, 34.000000, 48, 4128, 64
free, 47, 18.000000, 0, 4128, 32
malloc, 49, 25.000000, 52, 4128, 64
free, 49, 19.000000, 0, 4128, 32
malloc, 52, 29.000000, 52, 4128, 64
free, 52, 19.000000, 0, 4128, 32
malloc, 54, 33.000000, 56, 4128, 64
free, 54, 18.000000, 0, 4128, 32
malloc, 57, 25.000000, 60, 4128, 64
free, 57, 20.000000, 0, 4128, 32
malloc, 60, 29.000000, 60, 4128, 64
free, 60, 18.000000, 0, 4128, 32
